ISBN,Title,Author,Genre,Language,Publication_Year,Total_Copies,Available_Copies,Publisher,Book_Condition
978-4937720060,Automated content-based data-warehouse,Jonathan Salinas,Fiction,French,1991,9,,Random House,Worn
978-5641025136,Ergonomic scalable knowledgebase,Andrea Jordan,Fiction,English,1911,26,,Penguin,Good
978-5054819351,Programmable fresh-thinking complexity,Erin Terry,History,English,1997,30,26.0,Simon & Schuster,Worn
978-7237876067,Integrated regional hierarchy,Christopher Johnson,Non-fiction,Japanese,2000,7,5.0,Simon & Schuster,Good
978-1805990934,Grass-roots needs-based database,Gina Bowman,Science,Japanese,1912,10,7.0,HarperCollins,Worn
978-7713232424,Object-based disintermediate projection,Aaron Reese,History,German,2019,35,35.0,Simon & Schuster,Good
978-8354939736,Distributed directional access,Andrea Sherman,Fiction,English,1929,45,42.0,Simon & Schuster,New
978-3093637017,Optimized neutral knowledge user,Phillip Holmes,Biography,Spanish,1998,20,,HarperCollins,Damaged
978-2468176294,Ergonomic composite artificial intelligence,Joe Rogers,Science,Japanese,1915,39,37.0,Simon & Schuster,New
978-4007756949,Quality-focused even-keeled process improvement,Terry Richardson,Science,French,1987,34,34.0,Simon & Schuster,Damaged
978-3291991058,Function-based bifurcated algorithm,Ellen Long,History,Spanish,1926,14,12.0,Macmillan,Damaged
978-6024916083,Networked non-volatile toolset,Joseph Sanchez,Science,French,1951,21,20.0,Random House,Good
978-7674238057,Function-based system-worthy monitoring,Amanda Harper,Non-fiction,Spanish,1906,35,35.0,Penguin,New
978-6320533977,Decentralized impactful time-frame,Angela Williams,Biography,English,1951,26,25.0,HarperCollins,New
978-7131092264,Realigned impactful alliance,Nicole Serrano,History,French,1935,9,7.0,Simon & Schuster,Damaged
978-3074271107,Quality-focused foreground groupware,Janet Cole,Biography,English,1934,25,,HarperCollins,Worn
978-6456931920,Object-based 24hour firmware,Wayne Jackson,Biography,English,1901,24,21.0,HarperCollins,Good
978-3009712001,Profound optimal support,Mr. Michael Ferguson,Science,German,1925,18,16.0,HarperCollins,New
978-2578508508,Adaptive national Local Area Network,Marvin Miller,Science,English,1977,29,27.0,Macmillan,Damaged
978-8567696210,Enhanced uniform interface,Janet Cherry,Non-fiction,French,1904,16,12.0,Penguin,Good
978-3171649557,Streamlined empowering capability,Walter Cain,Science,English,1928,48,48.0,Random House,New
978-3471069598,Open-source upward-trending pricing structure,Juan Day,History,French,2018,45,43.0,Simon & Schuster,Worn
978-6099101328,Synergized holistic encoding,Samantha Gates,Science,French,1916,29,29.0,Penguin,Good
978-5810407282,Versatile secondary help-desk,Jennifer Bailey,Science,Spanish,1901,20,16.0,Random House,Damaged
978-7946865949,Vision-oriented heuristic function,Cynthia Lowe,Non-fiction,English,1985,12,,Simon & Schuster,Good
978-4890904515,Secured client-driven core,Kristin Nguyen,Biography,Spanish,1942,11,9.0,Penguin,Worn
978-9206666232,Synergized actuating productivity,Catherine Patterson,History,German,1980,9,8.0,HarperCollins,New
978-7700320575,Progressive intangible knowledge user,Maureen Fisher,Fiction,German,1963,29,,Random House,New
978-4478105873,Focused mission-critical Internet solution,Jeffrey Vasquez,History,English,2022,37,34.0,HarperCollins,Damaged
978-8783216835,Proactive 5thgeneration model,April Frazier,History,English,1964,23,19.0,Macmillan,Damaged
978-2332177456,Monitored stable implementation,Joanne Bishop,Science,English,1923,25,22.0,Simon & Schuster,Worn
978-4255699028,Realigned well-modulated projection,Brandi Delgado,History,Spanish,1999,31,27.0,HarperCollins,Damaged
978-2860639257,Versatile tangible collaboration,Dawn Hobbs,Fiction,Japanese,1935,47,46.0,Macmillan,Good
978-5036106047,Reduced background help-desk,Allison Branch,Biography,German,1912,7,4.0,Penguin,Damaged
978-5206917812,Phased empowering toolset,Debra Brennan,Non-fiction,Japanese,1965,32,29.0,Macmillan,Damaged
978-1800623589,Implemented systemic workforce,Amber Duarte,Biography,English,2019,38,,HarperCollins,Worn
978-8330335637,Configurable eco-centric functionalities,Regina Patton,Biography,Spanish,1952,49,48.0,Random House,New
978-8787526866,Optimized intermediate superstructure,Jeremy Long MD,Science,English,1995,9,,HarperCollins,Damaged
978-1166608800,User-friendly optimizing Local Area Network,Brian Paul,Biography,French,1905,27,23.0,HarperCollins,Damaged
978-9998652782,Re-contextualized intermediate adapter,Amy Edwards,History,English,1961,23,22.0,Random House,Worn
978-9254732946,Total 24hour collaboration,Kaylee Smith,Fiction,Japanese,1988,26,26.0,Random House,Good
978-8347263453,Decentralized maximized approach,Zachary Harris,History,Japanese,1914,47,46.0,HarperCollins,New
978-4961364514,Visionary disintermediate interface,Virginia Cowan,Fiction,Japanese,1962,34,31.0,Penguin,Worn
978-1228482672,Self-enabling non-volatile paradigm,Kelly Cruz,Fiction,English,2005,40,40.0,HarperCollins,New
978-6156295028,Future-proofed bi-directional knowledge user,Abigail Jenkins,History,Japanese,1910,38,,Simon & Schuster,Worn
978-7731402308,Reverse-engineered tangible matrices,Kristina Allen,Non-fiction,French,1918,7,6.0,Penguin,Damaged
978-5828582210,Switchable leadingedge pricing structure,Mike Martin,Science,English,2001,15,15.0,Penguin,Worn
978-4175231995,Cloned asynchronous concept,Crystal Grant,Biography,French,2010,23,21.0,Penguin,Good
978-6889381845,Team-oriented responsive focus group,Sean Gutierrez,Fiction,English,1940,44,41.0,Simon & Schuster,New
978-6788273200,Focused foreground orchestration,Cindy Guzman,Biography,Spanish,1954,5,1.0,Random House,Damaged
978-4399701037,Front-line intangible artificial intelligence,Stephanie Mcdowell,Biography,English,1903,36,36.0,Random House,Damaged
978-3377885620,Function-based bandwidth-monitored database,Michael Hernandez,Fiction,German,1979,10,8.0,Random House,Damaged
978-9460440022,De-engineered clear-thinking functionalities,Melinda Mitchell,Science,Japanese,1918,34,32.0,Random House,Good
978-7390612356,Reduced grid-enabled groupware,Elizabeth Bray,Non-fiction,Japanese,2006,41,39.0,Simon & Schuster,Damaged
978-8268179055,Profit-focused optimal knowledge user,Nathaniel Lopez,Non-fiction,Spanish,1920,41,37.0,HarperCollins,Worn
978-4978732072,Mandatory content-based extranet,Adam Allen,Fiction,Spanish,1972,25,24.0,Random House,Worn
978-8623691428,User-friendly scalable interface,Pamela Ryan,Science,English,1962,10,9.0,Macmillan,Worn
978-8222383473,Total value-added process improvement,Ethan Howard,Biography,English,1930,15,,HarperCollins,Worn
978-1786706367,Cloned demand-driven projection,Michael Nguyen,Biography,French,1973,44,,Simon & Schuster,Worn
978-9042502652,Cross-platform mission-critical open system,Scott Hale,Science,English,2006,25,24.0,Simon & Schuster,Worn
978-8665555591,Diverse multimedia archive,Elizabeth Perry,Science,Japanese,1954,12,11.0,Penguin,New
978-9263021230,Grass-roots eco-centric collaboration,Jeremy King,Biography,English,1996,34,34.0,Random House,Damaged
978-9088111269,Front-line solution-oriented portal,Crystal Rogers,Fiction,German,1982,7,7.0,Simon & Schuster,Worn
978-2087281815,Open-architected cohesive hierarchy,Patricia Everett,Biography,German,1919,33,31.0,Penguin,Good
978-3654732134,Compatible 5thgeneration intranet,Anthony Garrett,Science,English,1969,26,23.0,Random House,Good
978-4171931264,Diverse dedicated Graphic Interface,James Gallagher,Non-fiction,German,1905,24,23.0,HarperCollins,New
978-1508230609,Multi-channeled static synergy,Jeffrey Shepard,Fiction,Japanese,1978,40,,Simon & Schuster,Damaged
978-4284466091,Proactive interactive definition,Sarah Le,Non-fiction,Spanish,1900,13,12.0,Simon & Schuster,Worn
978-2676027924,Quality-focused user-facing neural-net,Mr. Robert West PhD,Science,German,1924,21,,HarperCollins,New
978-9478290275,Integrated tertiary superstructure,Robert Russell,Non-fiction,Japanese,1938,48,46.0,HarperCollins,Damaged
978-1210355797,Streamlined web-enabled application,Derrick Vaughn,History,Japanese,2019,6,3.0,HarperCollins,Damaged
978-1493102952,Cloned actuating analyzer,Jessica Maddox,Biography,Spanish,1905,47,43.0,Random House,Good
978-6371368660,Configurable executive Local Area Network,Cheryl Thompson,Biography,Spanish,2018,32,30.0,Penguin,Damaged
978-6427734329,Versatile cohesive synergy,Antonio Lewis,Fiction,Japanese,1933,49,46.0,Penguin,New
978-5785472837,Devolved content-based access,Kimberly Keller,Fiction,English,1936,47,43.0,HarperCollins,New
978-7530512930,Multi-layered composite conglomeration,Bradley Ingram,History,Spanish,1989,21,19.0,Macmillan,New
978-9881405478,Cloned 3rdgeneration methodology,Joseph Meyers,Biography,Japanese,2002,26,24.0,Macmillan,New
978-1587114705,Profit-focused multimedia algorithm,Carlos Reynolds,Fiction,French,1936,31,27.0,HarperCollins,Worn
978-5451692740,Cross-group bottom-line standardization,Mr. Bryce Mendez,Non-fiction,Spanish,2013,22,20.0,HarperCollins,Good
978-9658223583,Ergonomic bi-directional Internet solution,Gregory Barr,Biography,German,1934,42,42.0,Macmillan,Good
978-9411226780,Reverse-engineered systematic protocol,Eric Jacobs,History,Japanese,1914,35,32.0,HarperCollins,Worn
978-1110251734,Public-key mission-critical approach,Alyssa Ramirez,Fiction,French,1978,49,48.0,Random House,New
978-9507507224,Inverse mobile function,Chelsea Hester,History,Spanish,1966,46,46.0,HarperCollins,Good
978-9179350079,Persevering bottom-line forecast,Sarah Banks,History,French,1949,41,38.0,Random House,Damaged
978-4706331993,Streamlined optimizing middleware,Sarah Porter,Non-fiction,Spanish,2009,17,15.0,Penguin,Damaged
978-1238337496,Object-based content-based knowledge user,Andrew Perry,Non-fiction,German,1998,29,26.0,Macmillan,New
978-9426133990,Networked directional success,Lindsay Ward,Science,German,2016,36,33.0,Penguin,New
978-6074428393,Versatile 5thgeneration frame,Jennifer Baker,Non-fiction,English,2006,26,24.0,HarperCollins,Good
978-1169931599,Decentralized encompassing hardware,Nina Mullins,Science,French,1999,41,38.0,Simon & Schuster,Good
978-8580960202,Secured static time-frame,Laura Mccoy,Fiction,French,1937,28,27.0,Simon & Schuster,Worn
978-7292576915,Switchable maximized collaboration,Micheal Hoffman,Fiction,German,1979,5,5.0,HarperCollins,Damaged
978-8745176116,Team-oriented analyzing forecast,John Myers,Non-fiction,English,2003,45,44.0,HarperCollins,Damaged
978-8146128676,Universal 6thgeneration instruction set,Timothy Bernard,Fiction,Spanish,2003,39,,Simon & Schuster,Damaged
978-8301814519,Team-oriented composite artificial intelligence,Sheryl Ponce,Non-fiction,Spanish,2008,19,17.0,Macmillan,New
978-3349216152,Ameliorated 24/7 function,Tricia Miller,Science,French,1904,40,36.0,Macmillan,Good
978-8559164691,Assimilated leadingedge capability,Cassandra Graves,Non-fiction,Japanese,1997,8,7.0,Penguin,Damaged
978-8674445592,Mandatory exuding service-desk,Angela Taylor DVM,History,Spanish,2013,43,39.0,Random House,New
978-8762626519,Implemented global leverage,Rose Flores,Science,French,1973,11,10.0,Simon & Schuster,Damaged
978-3372797531,Pre-emptive maximized matrices,Sandra Carter DVM,History,German,1951,24,,Random House,Damaged
978-2065570632,Business-focused even-keeled superstructure,Jennifer Jones,History,English,1914,40,39.0,Random House,Good
978-4496744464,Face-to-face bandwidth-monitored focus group,Nathan Roman,Fiction,English,1941,12,10.0,Penguin,New
978-9844049305,Optimized needs-based database,Bobby Eaton,Science,English,1976,31,28.0,HarperCollins,Damaged
978-1195043215,Realigned upward-trending success,Caleb Scott,Non-fiction,French,1928,34,,Simon & Schuster,Damaged
978-9185699455,Pre-emptive zero tolerance pricing structure,Megan Barnett,Non-fiction,French,1935,5,3.0,HarperCollins,New
978-8501982548,Public-key uniform collaboration,Anthony Cunningham,Biography,English,1985,31,27.0,Macmillan,Damaged
978-4655359085,Implemented hybrid Local Area Network,Donna Perez,Biography,French,2013,20,20.0,Simon & Schuster,Damaged
978-2812162297,Seamless interactive success,Kevin Roberts,Non-fiction,Japanese,2014,38,38.0,Simon & Schuster,Good
978-5562883158,Persistent foreground interface,Matthew Waters,History,Japanese,2008,11,,Simon & Schuster,New
978-4275745119,Integrated bi-directional Local Area Network,Tammy Schmidt,Fiction,Spanish,1938,45,43.0,HarperCollins,Worn
978-9723939584,Profit-focused cohesive access,Taylor Higgins,History,Japanese,1986,27,25.0,Penguin,Good
978-6790462541,User-centric content-based interface,Dr. Molly Bender,Non-fiction,French,1923,16,16.0,HarperCollins,Worn
978-5328139105,Sharable regional open architecture,Crystal Lawrence,Non-fiction,Spanish,2012,42,40.0,Simon & Schuster,New
978-2125367191,Multi-tiered reciprocal project,Brenda Brandt,Non-fiction,English,1947,7,3.0,HarperCollins,New
978-6385169633,Adaptive mission-critical encryption,Matthew Palmer,Biography,French,1983,47,45.0,Penguin,Damaged
978-9121196174,Organized 3rdgeneration migration,James Martinez,Non-fiction,French,1968,14,14.0,Random House,Worn
978-6744711708,Down-sized dedicated productivity,Marie Contreras,Biography,German,1960,38,35.0,Random House,Good
978-9010328526,Cross-platform directional hub,Austin Murray,Non-fiction,English,1905,28,28.0,Random House,Good
978-3604330844,Customer-focused systemic hub,Philip Hernandez,Biography,Spanish,1995,45,41.0,HarperCollins,Good
978-5642186031,Multi-lateral 4thgeneration portal,Austin Marks,Science,Spanish,2014,20,20.0,Penguin,Worn
978-8054634066,Multi-tiered multi-tasking knowledgebase,Daniel Tyler,Fiction,English,1953,8,4.0,Penguin,Damaged
978-3642223373,Streamlined attitude-oriented open system,Stephanie Leblanc,Science,French,2002,29,,Random House,Damaged
978-1546911074,Profit-focused responsive database,Danielle Turner,History,Japanese,1925,13,11.0,Macmillan,New
978-5889580531,Reverse-engineered motivating info-mediaries,Donna Moreno,Biography,Spanish,1980,32,32.0,Penguin,Damaged
978-9943476976,Multi-lateral incremental knowledge user,Andrew Murphy,Fiction,English,1908,30,30.0,HarperCollins,Worn
978-7387258868,Enterprise-wide analyzing website,Megan Hale,Fiction,German,1932,33,29.0,Simon & Schuster,Worn
978-3859889989,Networked even-keeled interface,Barry Williams,Science,English,1939,22,19.0,Penguin,New
978-2488382339,Automated logistical hierarchy,Mr. Christopher Gillespie,Biography,Spanish,1903,49,46.0,Macmillan,Damaged
978-7964109562,Public-key contextually-based functionalities,Jennifer Jones,Fiction,English,1961,13,12.0,HarperCollins,Damaged
978-1815085080,Visionary holistic adapter,Melissa Smith,History,Spanish,1923,46,43.0,Macmillan,Damaged
978-2309983671,Centralized next generation circuit,Melanie Brown,Biography,French,1935,45,41.0,Macmillan,Good
978-6780192911,Operative interactive instruction set,Leonard Wilson,History,Spanish,1950,21,17.0,Random House,New
978-5675937320,Multi-channeled modular orchestration,Alexis Nolan,Biography,Japanese,1957,19,19.0,Penguin,Good
978-4053515438,Ergonomic system-worthy neural-net,Beth Stephens,Biography,French,1975,6,2.0,Simon & Schuster,Worn
978-8454448891,Secured bandwidth-monitored alliance,Amanda Berry,Science,English,1971,48,45.0,Random House,Good
978-6590436098,Assimilated even-keeled monitoring,Roger Steele,Science,German,1996,49,46.0,Simon & Schuster,New
978-3908160143,Reduced regional encoding,Patrick Keller,History,French,1982,17,13.0,Simon & Schuster,Good
978-9341693926,Distributed responsive matrices,Cindy Baldwin,Non-fiction,Spanish,1978,29,,Simon & Schuster,Damaged
978-8702935936,Multi-tiered needs-based function,James Cardenas,Science,Spanish,1967,10,10.0,HarperCollins,Damaged
978-4882264258,Devolved client-driven system engine,Richard Brock,Biography,Spanish,1956,47,44.0,Penguin,Worn
978-3819984192,Optional executive adapter,Brian Brown,History,Japanese,1989,28,,Penguin,New
978-7664156204,Proactive asynchronous attitude,Michael Torres,Fiction,Spanish,2014,43,39.0,HarperCollins,Worn
978-3564226007,Down-sized value-added contingency,Joseph Chase,Science,French,2002,44,44.0,Random House,Good
978-7663440930,Seamless upward-trending leverage,Eric Madden,Biography,Spanish,1910,9,9.0,HarperCollins,New
978-2659663290,Cloned solution-oriented success,Gregory Davis,Fiction,Spanish,1923,5,1.0,Macmillan,New
978-3226826354,Devolved scalable Internet solution,Michelle Mcdonald,History,Spanish,1972,31,28.0,Macmillan,New
978-8258819516,Versatile bandwidth-monitored software,Michael Fuller,Non-fiction,French,1994,12,10.0,Penguin,New
978-3669788408,Synergistic homogeneous instruction set,Sarah Beard,Science,Spanish,1931,35,35.0,HarperCollins,Worn
978-2309824384,Managed hybrid Graphic Interface,Caroline Howard,Biography,English,1905,18,,Simon & Schuster,Worn
978-3731495879,Virtual local collaboration,Edward Wright,Fiction,German,1974,11,10.0,Penguin,New
978-7114548526,Synergistic upward-trending concept,Bryce Wright,History,French,1997,21,18.0,Simon & Schuster,Worn
978-5286876625,Multi-tiered asymmetric portal,Theresa Thomas,Fiction,French,1955,9,7.0,HarperCollins,Damaged
978-3913291802,Stand-alone contextually-based superstructure,Matthew Dudley,Biography,Spanish,1949,6,6.0,Macmillan,Worn
978-4283425399,Programmable directional conglomeration,Alison Harris,Fiction,Spanish,1958,38,34.0,Simon & Schuster,Worn
978-4202776175,Stand-alone scalable time-frame,Maria Miller,Fiction,Spanish,1913,43,42.0,Macmillan,New
978-3224098292,Pre-emptive modular function,Tammy King,History,German,1969,22,19.0,Simon & Schuster,Worn
978-5090180000,Object-based homogeneous circuit,Leslie Guerra,History,Spanish,1928,31,31.0,Random House,Worn
978-5326590918,Reduced national pricing structure,Nichole Martin,History,Spanish,1904,22,19.0,Penguin,Worn
978-1891144591,Organic heuristic infrastructure,Michael Bell,Fiction,French,2007,31,30.0,Macmillan,Damaged
978-7215134545,User-friendly attitude-oriented forecast,Joseph Hernandez,Non-fiction,English,1955,29,26.0,Simon & Schuster,Good
978-9512947685,De-engineered 3rdgeneration database,Courtney Boone,Science,Japanese,1971,10,7.0,Random House,Damaged
978-3784169587,Persevering dynamic strategy,Nicole Estrada,History,English,1977,12,,HarperCollins,Damaged
978-9636075144,Versatile encompassing intranet,William Rodriguez,Fiction,German,1921,7,5.0,Penguin,New
978-9626273259,Decentralized local standardization,Ryan Garcia,Fiction,Spanish,1905,11,10.0,Penguin,Good
978-6888568970,Phased human-resource knowledgebase,Sarah Walker,Science,Japanese,2009,7,7.0,Penguin,New
978-1663938173,Sharable human-resource matrix,Virginia Martin,Non-fiction,Japanese,1970,8,8.0,Penguin,Good
978-9639430458,Organized coherent artificial intelligence,Angela Contreras,Biography,Japanese,1901,11,,Penguin,Worn
978-7574489220,Upgradable multi-tasking architecture,Lori Lambert,History,German,1977,6,2.0,Macmillan,Worn
978-7919117825,Decentralized responsive circuit,Kimberly Evans,Biography,Japanese,1930,6,2.0,Macmillan,Good
978-4158237635,Open-architected zero administration methodology,Melissa Burke,History,German,1910,5,5.0,Random House,Damaged
978-7395308445,Integrated background superstructure,Connor Moon,History,German,1916,25,,Macmillan,Good
978-8671915768,Seamless scalable website,Andrew Rosales,Non-fiction,English,1947,30,27.0,Simon & Schuster,Good
978-7378173543,Seamless object-oriented system engine,Brenda Hernandez,History,English,1911,15,13.0,Macmillan,Worn
978-7741840444,Reduced incremental function,David Lee,History,English,2017,9,8.0,Penguin,New
978-4623398989,Monitored bottom-line utilization,Adam Wood,Non-fiction,Spanish,1942,13,12.0,Penguin,Damaged
978-7322937411,Profound system-worthy Graphical User Interface,Travis Smith,History,Spanish,1952,47,,Penguin,Damaged
978-2432148844,Configurable reciprocal secured line,Debbie Mosley,Non-fiction,Spanish,1948,33,31.0,Penguin,Worn
978-3791269318,Devolved 4thgeneration neural-net,Ruth Woods,Fiction,English,1982,9,7.0,Macmillan,Good
978-2577586385,Stand-alone hybrid challenge,Thomas Flores DVM,Science,French,1999,32,32.0,Penguin,Good
978-8706228437,Function-based object-oriented info-mediaries,Christopher Ingram,History,German,1974,23,19.0,Simon & Schuster,Damaged
978-4682836657,Sharable asynchronous forecast,Carolyn Hanson,Biography,Japanese,1956,46,,Random House,New
978-9207090546,Diverse mission-critical firmware,Mark Mitchell,Non-fiction,English,1902,18,18.0,Simon & Schuster,Damaged
978-7293198848,Face-to-face value-added analyzer,Krystal Gilmore,Biography,Japanese,1923,12,10.0,Macmillan,Good
978-2476941099,Ergonomic tertiary challenge,Michelle Martinez,Biography,Spanish,2020,28,26.0,Random House,Worn
978-6457984522,Multi-lateral high-level interface,Timothy Leon,Science,Japanese,1905,8,8.0,Random House,Damaged
978-9753151661,Virtual background definition,Jason Roberts,Fiction,German,1959,22,21.0,Simon & Schuster,Good
978-2059952731,Progressive leadingedge process improvement,Brandon Foster,History,English,2001,29,28.0,Simon & Schuster,Good
978-2980661787,Optional analyzing Graphical User Interface,Jennifer Smith,Science,Spanish,1925,32,28.0,Penguin,New
978-1192851709,Open-architected uniform implementation,Stanley Yang,Biography,French,1916,29,27.0,Penguin,Good
978-7092582684,Multi-lateral scalable migration,Jennifer Sims,Biography,German,1985,18,,Macmillan,Good
978-5435638811,Down-sized foreground framework,James Brown,Fiction,English,2016,16,15.0,HarperCollins,Worn
978-9905161438,Managed local access,Michael Wilson,Non-fiction,English,1984,23,21.0,Penguin,Good
978-5001410987,Profound analyzing website,Andrew Patterson,Science,German,1963,36,,Simon & Schuster,New
978-5780003833,Organized real-time website,Heidi Watson,Fiction,English,2003,35,31.0,Simon & Schuster,Damaged
978-3480191386,Integrated heuristic time-frame,Courtney Nixon,Non-fiction,French,2007,23,23.0,HarperCollins,Good
978-4339509712,User-centric clear-thinking secured line,Travis Lee,Biography,Spanish,2014,41,37.0,Macmillan,Damaged
978-4191779432,Synchronized stable conglomeration,Jamie Johnson,Non-fiction,French,1958,33,31.0,Random House,Good
978-3382833469,Grass-roots upward-trending framework,Kathryn Martin,Biography,German,1950,34,32.0,Random House,New
978-6784465125,Versatile secondary implementation,Daniel Leonard,Science,French,1964,9,,HarperCollins,Good
978-1894632961,Cloned asynchronous projection,Joseph Kim,History,German,1903,34,34.0,Random House,Worn
978-5881637046,Enterprise-wide fault-tolerant budgetary management,Shaun Phillips,Biography,German,1920,21,18.0,HarperCollins,Good
978-4976129031,Compatible fresh-thinking open system,Elizabeth Patterson,Non-fiction,Spanish,1939,48,47.0,Random House,New
978-2181502917,Public-key upward-trending analyzer,Kristin Daniels,Science,German,1928,44,44.0,Macmillan,Worn
978-4524651411,Focused needs-based open system,Jesus Harris,Non-fiction,English,1981,25,23.0,Simon & Schuster,Good
978-2725957298,Streamlined demand-driven help-desk,Christina Bernard,History,German,1951,8,,Random House,Damaged
978-7231125910,Persistent optimizing pricing structure,Nicole Perez,Science,Spanish,2016,8,,Penguin,Worn
978-2944485355,Balanced fresh-thinking encryption,Nicholas Mora,Fiction,Japanese,2013,26,25.0,HarperCollins,Worn
978-5098139593,Distributed bottom-line strategy,Robert Ball,History,German,1962,17,14.0,Macmillan,Worn
978-7645558407,Exclusive mission-critical methodology,Jodi Rogers,Fiction,Spanish,1982,21,18.0,Simon & Schuster,Damaged
978-1711847834,Self-enabling transitional monitoring,Adriana Perry,Fiction,Spanish,1905,14,12.0,Simon & Schuster,Damaged
978-1741391170,Versatile coherent policy,Donna Vazquez,History,English,1907,47,45.0,HarperCollins,Good
978-4400972092,Reverse-engineered transitional access,Michelle Sharp,History,French,1967,17,15.0,Random House,Good
978-8452304066,Versatile holistic solution,Jonathan Strong,Fiction,Spanish,1961,18,16.0,Macmillan,Damaged
978-4160870529,Decentralized impactful matrices,Christopher Acosta,Biography,English,1983,7,5.0,Macmillan,Worn
978-9776382696,Quality-focused heuristic definition,Michael Bradley,Science,Spanish,1969,7,5.0,Macmillan,Good
978-6018827643,Face-to-face directional benchmark,Julie Sims,Science,German,1923,27,25.0,HarperCollins,Worn
978-1714360837,Up-sized real-time system engine,Samantha Young,Science,English,1950,18,18.0,Simon & Schuster,Worn
978-7028416664,Compatible dedicated analyzer,Benjamin Freeman,Science,Japanese,1910,5,3.0,Random House,New
978-2562415620,Synergistic 24/7 approach,John Peterson,History,Spanish,1913,18,16.0,Random House,Good
978-6789693434,Profound radical middleware,Christine Brown,Non-fiction,English,2012,6,2.0,Macmillan,Damaged
978-5700757625,Exclusive regional knowledgebase,Dylan Barber,Science,English,1991,21,18.0,Random House,Worn
978-6493327005,Pre-emptive multi-state knowledge user,Carlos Martin,Non-fiction,English,1933,49,49.0,Penguin,Good
978-4502376779,Configurable demand-driven project,Michael Mcdaniel,Science,German,1935,10,10.0,Simon & Schuster,Worn
978-7311786073,Fully-configurable real-time policy,Lance May,Non-fiction,French,1959,45,45.0,Macmillan,Damaged
978-2662967980,Cross-platform well-modulated data-warehouse,Shannon Perez,History,French,1991,17,13.0,HarperCollins,New
978-4041119073,Object-based tertiary algorithm,Mark Smith,Biography,Japanese,1909,5,1.0,Penguin,New
978-2379867494,Centralized impactful algorithm,Mark Hicks,Science,French,1966,40,,Random House,Damaged
978-3901721589,Implemented radical middleware,Catherine Armstrong,History,Spanish,1987,31,29.0,HarperCollins,Damaged
978-1986177971,Streamlined tertiary policy,David Wilson,Non-fiction,English,2009,37,37.0,Simon & Schuster,Damaged
978-7446031617,Customizable bandwidth-monitored Local Area Network,Jasmine Mckinney,Biography,Japanese,2002,16,15.0,Random House,Damaged
978-8714413378,Optimized impactful archive,Rebecca Brown,History,German,1953,39,,Penguin,New
978-1464040715,Upgradable content-based strategy,Zachary Garcia MD,Fiction,German,1980,45,,Random House,Damaged
978-7996840637,Synergized executive superstructure,Christopher Hays,Fiction,French,1913,11,11.0,Penguin,Good
978-9216680565,Up-sized 4thgeneration strategy,Linda Holt,Biography,Spanish,1994,37,36.0,HarperCollins,Good
978-8558004035,Enterprise-wide disintermediate application,Russell Dickerson,Fiction,French,1992,25,,Random House,Worn
978-2483107330,User-centric static data-warehouse,Michael Ford,Science,English,1984,47,44.0,Penguin,Damaged
978-8933416961,Expanded zero-defect access,Christian Rios,Non-fiction,German,1954,20,18.0,Penguin,Damaged
978-4942900245,Intuitive user-facing circuit,Andrea Key,Fiction,French,1962,13,11.0,Macmillan,Good
978-7319007420,Visionary heuristic portal,Zachary Maddox,History,Japanese,1945,10,6.0,HarperCollins,New
978-7318388729,Focused local throughput,Monique Edwards,History,Japanese,1947,15,,Random House,Damaged
978-1974269284,Advanced systemic hub,Jason Richardson,Biography,French,1919,43,41.0,HarperCollins,Worn
978-2661397222,Inverse client-server extranet,Dawn Smith,Non-fiction,French,1903,49,,Simon & Schuster,Worn
978-7216667467,Sharable object-oriented synergy,David Hanson,Fiction,German,2010,24,23.0,Simon & Schuster,Damaged
978-8597727687,Centralized 24hour knowledgebase,Timothy Stafford,Science,Spanish,2001,23,20.0,Macmillan,Good
978-1036147676,Configurable directional budgetary management,Anthony Flynn,History,French,1981,26,23.0,Simon & Schuster,Good
978-3407313720,Face-to-face well-modulated ability,Jonathan Dixon,Fiction,Spanish,1941,40,38.0,HarperCollins,Damaged
978-2356898601,Adaptive motivating core,Jorge Jones Jr.,Biography,English,1985,35,33.0,Random House,Good
978-4934421751,Business-focused even-keeled intranet,Laurie Olson,Non-fiction,Japanese,1976,16,16.0,Simon & Schuster,Damaged
978-4186906783,Front-line fault-tolerant circuit,Deborah Mckinney,Fiction,German,1924,12,,HarperCollins,Good
978-2909554280,Progressive system-worthy structure,Kaitlyn Simon,Non-fiction,Spanish,1907,45,45.0,Random House,New
978-5045705505,Exclusive multimedia moratorium,Deanna King,Science,German,1946,48,47.0,Macmillan,Good
978-5356450966,Profit-focused object-oriented moratorium,Jillian Mclean,Fiction,German,1905,30,,HarperCollins,Damaged
978-1279351078,Virtual dynamic extranet,Rodney Macias,Biography,Spanish,1952,27,26.0,Macmillan,Damaged
978-1985454486,Switchable asymmetric functionalities,Meghan Ward,History,English,1932,49,47.0,Penguin,Worn
978-7274186678,Enhanced static knowledge user,Jamie Rojas,Science,Japanese,1993,31,30.0,Simon & Schuster,Worn
978-8825741499,Customer-focused encompassing algorithm,Laura Brooks,Science,Japanese,1901,32,31.0,Simon & Schuster,Worn
978-4397049912,Cloned uniform projection,Robert Mcguire,Fiction,German,1947,45,42.0,HarperCollins,New
978-9224415193,Profound local budgetary management,Kristy Silva MD,Science,French,2002,23,,Simon & Schuster,Worn
